Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
1.44,1,-1.38421,1.93167,5.11454,5.11454,8.92743,9.32669,17.0006,17.0006,17.5224,17.5898,18.3664,18.3664,18.9107,19.2961,23.2881,23.8928
1.46,1,-1.36699,1.90694,5.10873,5.10873,8.92737,9.30798,17.1602,17.1602,17.5871,17.7904,18.2023,18.2023,18.7115,19.216,23.508,24.047
1.48,1,-1.35607,1.89176,5.1053,5.1053,8.92757,9.2966,17.2934,17.2934,17.6294,17.9815,18.0672,18.0672,18.5219,19.1646,23.7199,24.0879
1.5,1,-1.35166,1.88633,5.10425,5.10425,8.92769,9.29288,17.3628,17.3628,17.6444,17.9985,17.9985,18.113,18.3919,19.1467,23.8924,24.0245
1.5,-1,-1.34215,1.8942,5.11637,5.12898,8.92675,9.31272,17.389,17.4047,17.76,18.0377,18.0503,18.1552,18.4538,19.238,23.8823,24.051
1.52,-1,-1.34271,1.89456,5.10126,5.12964,8.93952,9.32767,17.2531,17.2886,17.6901,17.8171,18.1772,18.3357,18.6172,19.2978,23.7622,23.9751
1.54,-1,-1.34291,1.89719,5.0635,5.13437,8.97183,9.37172,17.0557,17.0831,17.5488,17.5657,18.3913,18.5652,18.8495,19.4234,23.5299,23.927
1.56,-1,-1.34285,1.90204,5.00602,5.14314,9.01473,9.45099,16.8365,16.8451,17.3123,17.3741,18.6241,18.8206,19.0997,19.5931,23.2712,23.8633
1.58,-1,-1.34271,1.90902,4.93292,5.15591,9.05953,9.57023,16.5963,16.6098,17.0605,17.1803,18.8634,19.0879,19.3557,19.7902,23.0098,23.76
1.6,-1,-1.34275,1.91805,4.84875,5.17264,9.10236,9.72896,16.3449,16.3811,16.8115,16.9762,19.1049,19.3598,19.6133,20.004,22.7528,23.61
1.62,-1,-1.34326,1.92899,4.75808,5.19327,9.14353,9.92253,16.0946,16.1531,16.5661,16.7671,19.3469,19.6314,19.8699,20.2279,22.5048,23.4218
1.64,-1,-1.34463,1.94175,4.66509,5.21772,9.18469,10.1453,15.8476,15.9273,16.325,16.5564,19.5879,19.8976,20.1231,20.4577,22.2706,23.2094
1.66,-1,-1.34729,1.95622,4.57348,5.24592,9.22725,10.3924,15.6049,15.7046,16.0885,16.3463,19.8274,20.1507,20.3701,20.6904,22.0578,22.9841
1.68,-1,-1.35172,1.97236,4.48643,5.27775,9.27216,10.6596,15.3678,15.4855,15.8569,16.1383,20.0647,20.375,20.6084,20.9239,21.882,22.7538
1.7,-1,-1.35844,1.9902,4.40658,5.31311,9.31996,10.9435,15.1371,15.2706,15.6307,15.9335,20.2993,20.5374,20.838,21.1565,21.7725,22.5241
1.72,-1,-1.368,2.00985,4.33609,5.35186,9.37091,11.2412,14.914,15.0601,15.41,15.7328,20.5311,20.5927,21.0597,21.3869,21.7671,22.3012
1.74,-1,-1.38094,2.03155,4.27666,5.39387,9.42511,11.5494,14.7,14.8542,15.1953,15.5368,20.5334,20.7599,21.2631,21.6141,21.8698,22.098
1.75,-1,-1.38885,2.04329,4.25148,5.41605,9.45341,11.7063,14.5972,14.7531,15.0904,15.4408,20.473,20.8731,21.3466,21.7263,21.9465,22.0172
1.75,1,-1.38885,2.04329,4.25148,5.41605,9.45341,11.7063,14.5972,14.7531,15.0904,15.4408,20.473,20.8731,21.3466,21.7263,21.9465,22.0172
1.77,1,-1.40783,2.06887,4.21081,5.46262,9.51235,12.0226,14.4023,14.5547,14.8854,15.2531,20.3177,21.0972,21.4158,21.936,21.9474,22.1437
1.79,1,-1.43141,2.09776,4.18351,5.51202,9.57424,12.335,14.2277,14.3613,14.6878,15.0716,20.1381,21.3097,21.3184,22.0284,22.164,22.3502
1.81,1,-1.45994,2.1307,4.16982,5.56402,9.63879,12.627,14.088,14.1732,14.4989,14.8968,19.9483,21.1233,21.5367,22.1828,22.3762,22.5538
1.83,1,-1.49365,2.1685,4.16964,5.6184,9.70564,12.8626,13.9902,14.0136,14.3243,14.729,19.7546,20.9151,21.7524,22.3138,22.5841,22.7315
