Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
1.34,1,-2.57292,1.9745,4.63905,4.63905,8.05381,8.50807,14.0899,14.5007,14.5007,15.53,17.1487,17.2413,17.2413,18.4535,19.6778,20.3428
1.36,1,-2.55082,1.93297,4.62411,4.62411,8.04212,8.47201,14.2673,14.659,14.659,15.6142,16.9611,17.0691,17.0691,18.3279,19.8625,20.5777
1.38,1,-2.53117,1.89653,4.61113,4.61113,8.0326,8.43984,14.4462,14.8186,14.8186,15.6943,16.7726,16.8968,16.8968,18.2119,20.0492,20.8172
1.4,1,-2.51414,1.86535,4.60014,4.60014,8.02508,8.41187,14.6262,14.9795,14.9795,15.7685,16.5841,16.7251,16.7251,18.1073,20.236,21.0601
1.42,1,-2.4999,1.83961,4.59114,4.59114,8.01935,8.3884,14.807,15.1415,15.1415,15.8347,16.3966,16.5543,16.5543,18.0163,20.4202,21.3046
1.44,1,-2.48858,1.81944,4.58414,4.58414,8.01522,8.36974,14.9877,15.3042,15.3042,15.8905,16.211,16.3849,16.3849,17.9412,20.5973,21.547
1.46,1,-2.48029,1.80495,4.57915,4.57915,8.01248,8.35616,15.1663,15.467,15.467,15.9332,16.0295,16.2178,16.2178,17.8848,20.7591,21.7746
1.48,1,-2.47513,1.79622,4.57617,4.57617,8.01095,8.34788,15.3358,15.6265,15.6265,15.8593,15.9602,16.0565,16.0565,17.8496,20.8901,21.9381
1.5,1,-2.47314,1.7933,4.57522,4.57522,8.01052,8.34505,15.4533,15.7433,15.7529,15.7529,15.9309,15.9309,15.9698,17.8374,20.9647,21.9734
1.5,-1,-2.46959,1.7941,4.59005,4.59517,8.01792,8.36422,15.4807,15.7134,15.7802,15.9018,15.9231,15.998,16.1409,17.9291,20.9486,21.9799
1.52,-1,-2.46986,1.79488,4.57695,4.59578,8.02859,8.37711,15.3415,15.4773,15.6991,15.7458,16.1189,16.151,16.3603,17.9616,20.9066,21.8906
1.54,-1,-2.46997,1.7977,4.54498,4.59982,8.05554,8.41564,15.1347,15.2426,15.4747,15.6704,16.3358,16.3791,16.5896,18.0321,20.8185,21.7661
1.56,-1,-2.46996,1.80252,4.49652,4.60728,8.09148,8.48478,14.9114,15.012,15.2511,15.5668,16.5646,16.6164,16.8212,18.1336,20.6883,21.6298
1.58,-1,-2.46993,1.80923,4.43485,4.61812,8.1293,8.58845,14.6841,14.7859,15.0306,15.4411,16.7985,16.856,17.054,18.2591,20.5259,21.4668
1.6,-1,-2.47001,1.8177,4.36371,4.6323,8.16565,8.72637,14.457,14.5642,14.8138,15.2997,17.034,17.0958,17.287,18.402,20.3437,21.2737
1.62,-1,-2.47035,1.82778,4.28683,4.64977,8.2006,8.89484,14.232,14.3472,14.6009,15.1476,17.2689,17.3343,17.5195,18.5574,20.1518,21.0618
1.64,-1,-2.47116,1.8393,4.20771,4.67044,8.23539,9.08925,14.0103,14.1351,14.3924,14.9885,17.5017,17.5693,17.7509,18.7214,19.9581,20.8413
1.66,-1,-2.47264,1.85206,4.12944,4.69425,8.27113,9.30541,13.7926,13.9282,14.1883,14.8255,17.73,17.798,17.9806,18.8912,19.7693,20.6182
1.68,-1,-2.47504,1.8659,4.05472,4.7211,8.30856,9.53984,13.5793,13.727,13.9889,14.6605,17.9484,18.0184,18.2077,19.0647,19.5932,20.3959
1.7,-1,-2.47863,1.88066,3.98581,4.75089,8.34808,9.78962,13.3709,13.5319,13.7944,14.4953,18.1419,18.2322,18.4318,19.2405,19.4419,20.1773
1.72,-1,-2.48368,1.89626,3.92458,4.78348,8.38985,10.0521,13.1679,13.3437,13.6049,14.3311,18.2808,18.4445,18.6524,19.3359,19.4174,19.966
1.74,-1,-2.49047,1.91269,3.87255,4.81876,8.43385,10.3247,12.9708,13.1634,13.4205,14.169,18.3339,18.6532,18.8689,19.2993,19.5947,19.7709
1.75,-1,-2.4946,1.92125,3.85035,4.83736,8.45664,10.4638,12.8747,13.0767,13.3303,14.089,18.3241,18.7531,18.9756,19.3058,19.6834,19.6875
1.75,1,-2.4946,1.92125,3.85035,4.83736,8.45664,10.4638,12.8747,13.0767,13.3303,14.089,18.3241,18.7531,18.9756,19.3058,19.6834,19.6875
1.77,1,-2.5045,1.93918,3.81413,4.87638,8.50364,10.7451,12.6879,12.912,13.1538,13.9315,18.246,18.9263,19.1856,19.3178,19.6013,19.8603
1.79,1,-2.5168,1.95848,3.78931,4.91768,8.55227,11.0245,12.5097,12.7629,12.9826,13.778,18.1192,18.9752,19.3389,19.3912,19.6685,20.0366
1.81,1,-2.53172,1.9796,3.77619,4.96106,8.60208,11.2887,12.3426,12.6401,12.8169,13.6291,17.9689,18.8496,19.4797,19.5923,19.7945,20.2122
1.83,1,-2.54944,2.00315,3.7748,5.00634,8.65255,11.5061,12.1915,12.5703,12.6566,13.4853,17.8079,18.6676,19.6583,19.7893,19.9033,20.3869
1.85,1,-2.57009,2.02981,3.7849,5.05328,8.70299,11.6189,12.0614,12.5017,12.6064,13.3473,17.6423,18.4711,19.8148,19.9195,19.9822,20.561
