Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0.68,1,-7.51076,3.76297,4.11818,4.11818,6.5553,10.3653,10.9013,10.9013,12.5989,13.1887,14.5008,17.1604,17.1604,17.1615,20.2641,24.2998
0.7,1,-7.50468,3.68482,4.09808,4.09808,6.66277,10.3053,10.9532,10.9532,12.4995,13.2124,14.6081,17.2043,17.2043,17.2044,20.4456,24.0409
0.72,1,-7.49802,3.60535,4.07642,4.07642,6.77405,10.2431,11.01,11.01,12.3958,13.2386,14.7232,17.2514,17.2527,17.2527,20.64,23.7835
0.74,1,-7.49083,3.5252,4.05332,4.05332,6.88829,10.1793,11.0715,11.0715,12.2891,13.2672,14.8454,17.3025,17.3056,17.3056,20.846,23.5281
0.76,1,-7.48311,3.44487,4.02892,4.02892,7.0047,10.1146,11.1376,11.1376,12.1807,13.2982,14.9739,17.3577,17.3628,17.3628,21.0623,23.2755
0.78,1,-7.47489,3.36477,4.00338,4.00338,7.12257,10.0496,11.2082,11.2082,12.0717,13.3316,15.1082,17.4169,17.4244,17.4244,21.2872,23.0266
0.8,1,-7.46621,3.28525,3.97684,3.97684,7.24116,9.98477,11.283,11.283,11.9633,13.3673,15.2477,17.4802,17.4902,17.4902,21.5179,22.7837
0.82,1,-7.45709,3.20657,3.94944,3.94944,7.35973,9.92056,11.3619,11.3619,11.8564,13.4053,15.3919,17.5475,17.56,17.56,21.7472,22.5536
0.84,1,-7.44755,3.12898,3.92134,3.92134,7.47751,9.85743,11.4449,11.4449,11.7523,13.4457,15.5403,17.6187,17.6338,17.6338,21.9381,22.3727
0.86,1,-7.43765,3.05265,3.89266,3.89266,7.59361,9.7958,11.5316,11.5316,11.652,13.4883,15.6923,17.6938,17.7114,17.7114,21.9243,22.4074
0.88,1,-7.4274,2.97775,3.86356,3.86356,7.70708,9.73607,11.5566,11.6221,11.6221,13.5331,15.8477,17.7725,17.7924,17.7924,21.7356,22.373
0.9,1,-7.41684,2.90443,3.83416,3.83416,7.81683,9.6786,11.4673,11.7161,11.7161,13.5801,16.0058,17.8547,17.8765,17.8765,21.5165,22.1498
0.92,1,-7.40602,2.8328,3.8046,3.8046,7.92164,9.62376,11.3856,11.8134,11.8134,13.6292,16.1663,17.9399,17.9634,17.9634,21.2937,21.9312
0.94,1,-7.39497,2.76296,3.775,3.775,8.02014,9.57185,11.3128,11.9141,11.9141,13.6804,16.3286,18.0277,18.0525,18.0525,21.0734,21.7177
0.96,1,-7.38373,2.69501,3.74548,3.74548,8.11086,9.52311,11.2505,12.0179,12.0179,13.7335,16.4921,18.1171,18.1429,18.1429,20.8585,21.5101
0.98,1,-7.37235,2.62903,3.71615,3.71615,8.19231,9.47766,11.2005,12.1247,12.1247,13.7886,16.6561,18.207,18.2336,18.2336,20.6517,21.3094
1,1,-7.36085,2.56509,3.68713,3.68713,8.26308,9.43545,11.1644,12.2345,12.2345,13.8455,16.8196,18.2953,18.3231,18.3231,20.4559,21.1171
1.02,1,-7.3493,2.50326,3.65852,3.65852,8.32206,9.39617,11.1439,12.347,12.347,13.9042,16.9814,18.3791,18.4092,18.4092,20.2756,20.9354
1.04,1,-7.33772,2.44359,3.63042,3.63042,8.36859,9.35928,11.1405,12.4623,12.4623,13.9645,17.1395,18.4541,18.489,18.489,20.1168,20.7671
1.06,1,-7.32617,2.38614,3.60291,3.60291,8.40263,9.32401,11.1551,12.5802,12.5802,14.0263,17.2909,18.5148,18.5582,18.5582,19.9882,20.6166
1.08,1,-7.31469,2.33096,3.5761,3.5761,8.42482,9.28946,11.1882,12.7006,12.7006,14.0895,17.4303,18.5559,18.6112,18.6112,19.9001,20.4893
1.1,1,-7.30332,2.27809,3.55005,3.55005,8.43636,9.25483,11.2395,12.8235,12.8235,14.154,17.5489,18.5777,18.6412,18.6412,19.8612,20.3921
1.12,1,-7.29212,2.22758,3.52485,3.52485,8.4388,9.21953,11.3082,12.9488,12.9488,14.2195,17.6319,18.5922,18.6413,18.6413,19.8737,20.3316
1.14,1,-7.28111,2.17947,3.50056,3.50056,8.43382,9.18328,11.3931,13.0764,13.0764,14.2859,17.6616,18.6073,18.6073,18.6232,19.932,20.3122
1.16,1,-7.27036,2.13378,3.47727,3.47727,8.42307,9.14613,11.4925,13.2062,13.2062,14.3529,17.6279,18.5395,18.5395,18.69,20.0262,20.3334
1.18,1,-7.2599,2.09057,3.45502,3.45502,8.40802,9.10834,11.6047,13.3382,13.3382,14.4203,17.5382,18.4423,18.4423,18.7943,20.1473,20.2982
1.2,1,-7.24977,2.04986,3.43387,3.43387,8.38993,9.07035,11.7282,13.4724,13.4724,14.4878,17.409,18.3223,18.3223,18.9263,20.1445,20.2882
1.22,1,-7.24002,2.01168,3.41389,3.41389,8.36986,9.03266,11.8615,13.6086,13.6086,14.5551,17.2547,18.1858,18.1858,19.0762,19.9966,20.444
1.24,1,-7.23069,1.97606,3.39511,3.39511,8.34867,8.99578,12.0031,13.7469,13.7469,14.6217,17.0848,18.0378,18.0378,19.2376,19.8548,20.6114
1.26,1,-7.22181,1.94303,3.37759,3.37759,8.32706,8.96017,12.1521,13.8871,13.8871,14.6874,16.9051,17.8821,17.8821,19.4067,19.7197,20.7877
1.28,1,-7.21343,1.91261,3.36136,3.36136,8.3056,8.92626,12.3074,14.0293,14.0293,14.7515,16.7194,17.7214,17.7214,19.5813,19.5916,20.9707
1.3,1,-7.20557,1.88483,3.34646,3.34646,8.28477,8.89442,12.4681,14.1733,14.1733,14.8135,16.5298,17.5576,17.5576,19.4712,19.76,21.1585
1.32,1,-7.19828,1.8597,3.33294,3.33294,8.26497,8.86495,12.6336,14.3191,14.3191,14.8729,16.3381,17.392,17.392,19.3589,19.9419,21.3361
1.34,1,-7.19157,1.83725,3.32081,3.32081,8.24651,8.83809,12.8033,14.4667,14.4667,14.9291,16.1453,17.2257,17.2257,19.2556,20.1266,21.509
1.36,1,-7.18549,1.8175,3.3101,3.3101,8.22967,8.81405,12.9765,14.6158,14.6158,14.9812,15.9522,17.0594,17.0594,19.1618,20.3134,21.6857
1.38,1,-7.18005,1.80045,3.30085,3.30085,8.21469,8.79297,13.1527,14.7664,14.7664,15.0286,15.7595,16.8938,16.8938,19.0783,20.502,21.8644
1.4,1,-7.17527,1.78613,3.29307,3.29307,8.20176,8.77497,13.3313,14.9182,14.9182,15.0706,15.568,16.7294,16.7294,19.0059,20.6915,22.0426
1.42,1,-7.17118,1.77455,3.28677,3.28677,8.19105,8.76016,13.5117,15.0707,15.0707,15.1063,15.3782,16.567,16.567,18.9452,20.8811,22.1534
1.44,1,-7.16778,1.76571,3.28198,3.28198,8.18268,8.74859,13.6927,15.1351,15.1913,15.2231,15.2231,16.4077,16.4077,18.8971,21.069,22.1962
1.46,1,-7.1651,1.75963,3.2787,3.2787,8.17675,8.74031,13.8723,15.0095,15.1564,15.3732,15.3732,16.2537,16.2537,18.8621,21.2516,22.1665
1.48,1,-7.16314,1.7563,3.27695,3.27695,8.17336,8.73535,14.045,14.8381,15.1697,15.5149,15.5149,16.1112,16.1112,18.8406,21.42,22.0851
1.5,1,-7.1619,1.75574,3.27673,3.27673,8.17254,8.73374,14.1913,14.6967,15.1747,15.6237,15.6237,16.0048,16.0048,18.8331,21.5455,22.0011
1.5,-1,-7.1395,1.75815,3.32189,3.35163,8.20828,8.77102,14.2997,14.6781,15.3175,15.679,15.8617,16.1046,16.2823,18.9573,21.5725,21.9771
1.52,-1,-7.14172,1.75878,3.3202,3.33681,8.21777,8.78353,14.2167,14.5605,15.1638,15.6699,15.9646,16.2351,16.354,18.9777,21.5084,21.9044
1.54,-1,-7.1438,1.76276,3.31027,3.32118,8.24006,8.81505,14.0966,14.4077,14.9782,15.6248,16.1105,16.4174,16.4619,19.0194,21.3792,21.8178
1.56,-1,-7.14577,1.77004,3.27299,3.32478,8.27221,8.86747,13.9501,14.2369,14.7825,15.5531,16.2814,16.5961,16.6226,19.0802,21.2021,21.7331
1.58,-1,-7.14765,1.78053,3.22637,3.33098,8.31058,8.94293,13.7865,14.0572,14.5845,15.4607,16.4661,16.7486,16.8392,19.1574,21,21.6402
1.6,-1,-7.14947,1.7941,3.1721,3.33971,8.35185,9.04288,13.6125,13.8737,14.3879,15.352,16.658,16.9138,17.0626,19.2481,20.7876,21.5303
1.62,-1,-7.15129,1.81057,3.11204,3.35091,8.3938,9.16746,13.4332,13.6889,14.1943,15.2304,16.8526,17.0877,17.2901,19.3495,20.5724,21.4008
1.64,-1,-7.15315,1.82972,3.04816,3.36451,8.43547,9.31536,13.2524,13.5046,14.0049,15.0986,17.0459,17.2678,17.5205,19.4593,20.3588,21.2538
1.66,-1,-7.15512,1.85121,2.98243,3.3804,8.47674,9.48425,13.0729,13.3217,13.8204,14.9591,17.2342,17.4522,17.7525,19.5754,20.1495,21.0937
1.68,-1,-7.15725,1.87463,2.91681,3.3985,8.51786,9.67121,12.8974,13.1412,13.6413,14.814,17.4136,17.6397,17.9855,19.6963,19.9468,20.9256
1.7,-1,-7.15962,1.8994,2.85326,3.41868,8.55912,9.87288,12.7284,12.9637,13.468,14.6649,17.5794,17.8291,18.2186,19.7532,19.8207,20.7548
1.72,-1,-7.16228,1.92479,2.79377,3.44083,8.60067,10.0852,12.5692,12.7896,13.3009,14.5134,17.7253,18.019,18.4514,19.5712,19.9478,20.5866
1.74,-1,-7.16532,1.94983,2.74036,3.4648,8.64248,10.303,12.4243,12.6197,13.1402,14.3605,17.8433,18.2083,18.6832,19.4038,20.077,20.4277
1.75,-1,-7.167,1.96187,2.7166,3.47742,8.66341,10.4115,12.3594,12.5364,13.0624,14.284,17.8887,18.3022,18.7986,19.3264,20.1423,20.3543
1.75,1,-7.167,1.96187,2.7166,3.47742,8.66341,10.4115,12.3594,12.5364,13.0624,14.284,17.8887,18.3022,18.7986,19.3264,20.1423,20.3543
1.77,1,-7.17073,1.98411,2.67631,3.50384,8.70509,10.6209,12.2512,12.3736,12.9118,14.1311,17.9454,18.4873,19.0282,19.1843,20.2262,20.2741
1.79,1,-7.17501,2.00281,2.64737,3.5317,8.746,10.805,12.1837,12.2193,12.7683,13.9793,17.95,18.6659,19.0564,19.2557,20.1329,20.4076
1.81,1,-7.17988,2.01683,2.6315,3.56081,8.78533,10.9395,12.0607,12.1943,12.6319,13.8292,17.9018,18.8095,18.9572,19.4809,20.0834,20.5427
1.83,1,-7.18542,2.02572,2.62962,3.59099,8.82198,11.0042,11.915,12.2864,12.5029,13.6815,17.8087,18.7384,19.0507,19.7035,20.0709,20.6797
1.85,1,-7.19167,2.03004,2.64157,3.62204,8.85461,11.0033,11.7753,12.3814,12.4635,13.5367,17.6819,18.5711,19.2084,19.9233,20.0439,20.4794
1.87,1,-7.19867,2.03128,2.6661,3.65378,8.88154,10.9605,11.6427,12.2674,12.7019,13.3955,17.5304,18.3761,19.3545,19.9055,20.1402,20.4321
1.89,1,-7.20644,2.03146,2.7014,3.68599,8.90087,10.8982,11.518,12.1609,12.9792,13.2583,17.359,18.1642,19.4346,19.7498,20.354,20.5143
1.91,1,-7.21502,2.03264,2.74551,3.71846,8.91051,10.8305,11.4022,12.062,13.1256,13.2813,17.1692,17.9452,19.3227,19.7736,20.5646,20.6436
1.93,1,-7.22439,2.03661,2.79665,3.75098,8.90843,10.7654,11.2967,11.9705,12.9982,13.5989,16.9607,17.729,19.127,19.8831,20.7717,20.7942
1.95,1,-7.23457,2.0448,2.85335,3.78334,8.89287,10.7067,11.2034,11.8862,12.8765,13.9256,16.7344,17.5241,18.9315,19.9915,20.957,20.9746
1.97,1,-7.24552,2.05829,2.91442,3.81535,8.86268,10.6551,11.1247,11.8087,12.7613,14.2546,16.4948,17.3355,18.749,20.0766,21.1278,21.1724
1.99,1,-7.25722,2.07786,2.97888,3.84679,8.81755,10.609,11.0636,11.7375,12.6534,14.5751,16.2532,17.165,18.582,20.1229,21.3041,21.3626
2.01,1,-7.26962,2.10406,3.04593,3.87748,8.75801,10.5655,11.0229,11.6719,12.5538,14.8627,16.0346,17.013,18.4316,20.1154,21.4844,21.5402
2.03,1,-7.28266,2.13728,3.11488,3.90724,8.68525,10.5222,11.0038,11.6111,12.4636,15.0498,15.9035,16.8816,18.3001,20.0445,21.6677,21.6924
2.05,1,-7.29627,2.17776,3.18511,3.93591,8.60088,10.4784,11.0049,11.5539,12.384,15.0332,15.9499,16.7802,18.1928,19.9118,21.7869,21.8529
2.07,1,-7.31037,2.22562,3.25607,3.96334,8.50658,10.4351,11.0228,11.4992,12.3164,14.86,16.0884,16.7369,18.1204,19.7306,21.7586,22.0384
2.09,1,-7.32488,2.28092,3.32725,3.98942,8.40393,10.3942,11.053,11.4457,12.262,14.634,16.155,16.7916,18.1043,19.5178,21.5777,22.2219
2.11,1,-7.3397,2.34361,3.39815,4.01403,8.29428,10.3575,11.0909,11.3924,12.2218,14.3973,16.1207,16.9001,18.177,19.2885,21.3058,22.4004
