Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0.68,1,-7.58658,5.52272,5.95826,5.95826,9.53254,13.3589,14.0379,14.0379,16.0709,16.8517,19.077,21.7003,21.9018,21.9018,25.3282,32.2364
0.7,1,-7.57529,5.41843,5.92774,5.92774,9.66943,13.2879,14.1103,14.1103,15.9407,16.8825,19.2092,21.73,21.9584,21.9584,25.5934,31.9037
0.72,1,-7.56294,5.31161,5.89491,5.89491,9.81095,13.2142,14.1893,14.1893,15.8055,16.9165,19.3515,21.7672,22.0208,22.0208,25.8734,31.5745
0.74,1,-7.54955,5.20314,5.85999,5.85999,9.95566,13.1386,14.2747,14.2747,15.6672,16.9537,19.5031,21.8118,22.0889,22.0889,26.1665,31.2488
0.76,1,-7.53518,5.09376,5.82322,5.82322,10.1022,13.0621,14.3662,14.3662,15.5276,16.9939,19.6631,21.864,22.1628,22.1628,26.4711,30.9267
0.78,1,-7.51985,4.98408,5.78483,5.78483,10.249,12.9854,14.4637,14.4637,15.3885,17.0373,19.8308,21.9235,22.2424,22.2424,26.7855,30.6084
0.8,1,-7.50363,4.87459,5.74504,5.74504,10.3947,12.9094,14.5669,14.5669,15.252,17.0838,20.0053,21.9905,22.3275,22.3275,27.1077,30.294
0.82,1,-7.48656,4.76572,5.70409,5.70409,10.5374,12.8349,14.6755,14.6755,15.1197,17.1332,20.186,22.0647,22.418,22.418,27.4345,29.9836
0.84,1,-7.4687,4.65782,5.66219,5.66219,10.6753,12.7626,14.7892,14.7892,14.994,17.1857,20.3722,22.1463,22.5138,22.5138,27.7601,29.6774
0.86,1,-7.45009,4.55118,5.61955,5.61955,10.806,12.6936,14.877,14.9079,14.9079,17.2411,20.5632,22.235,22.6147,22.6147,28.0693,29.3755
0.88,1,-7.43081,4.44608,5.57639,5.57639,10.9271,12.6284,14.7712,15.0314,15.0314,17.2994,20.7584,22.3308,22.7205,22.7205,28.3135,29.0783
0.9,1,-7.41092,4.34273,5.53291,5.53291,11.0356,12.5679,14.6794,15.1593,15.1593,17.3606,20.9571,22.4337,22.8308,22.8308,28.37,28.786
0.92,1,-7.39048,4.24133,5.48929,5.48929,11.1286,12.5124,14.6048,15.2916,15.2916,17.4245,21.1587,22.5436,22.9452,22.9452,28.2149,28.4991
0.94,1,-7.36956,4.14204,5.44572,5.44572,11.2036,12.4617,14.5506,15.4279,15.4279,17.4911,21.3624,22.6601,23.0632,23.0632,27.9745,28.2181
0.96,1,-7.34824,4.04503,5.40236,5.40236,11.2587,12.4151,14.52,15.5682,15.5682,17.5603,21.5677,22.7828,23.184,23.184,27.7099,27.9437
0.98,1,-7.3266,3.95044,5.35939,5.35939,11.2933,12.3708,14.5155,15.7122,15.7122,17.6321,21.7739,22.9112,23.3067,23.3067,27.4402,27.6769
1,1,-7.30472,3.85839,5.31695,5.31695,11.3084,12.3267,14.5389,15.8598,15.8598,17.7063,21.9804,23.044,23.4299,23.4299,27.1732,27.4189
1.02,1,-7.28267,3.769,5.27519,5.27519,11.3063,12.2805,14.5903,16.0108,16.0108,17.7828,22.1865,23.1795,23.5516,23.5516,26.9135,27.1718
1.04,1,-7.26054,3.68238,5.23425,5.23425,11.2898,12.2306,14.6687,16.165,16.165,17.8615,22.3919,23.3146,23.6692,23.6692,26.6659,26.9382
1.06,1,-7.23842,3.59864,5.19425,5.19425,11.262,12.1764,14.772,16.3224,16.3224,17.9421,22.5961,23.4448,23.7788,23.7788,26.4357,26.7219
1.08,1,-7.2164,3.51788,5.1553,5.1553,11.2258,12.1182,14.8972,16.4828,16.4828,18.0247,22.7987,23.563,23.8748,23.8748,26.2306,26.5283
1.1,1,-7.19456,3.44018,5.11753,5.11753,11.1834,12.0569,15.0414,16.646,16.646,18.1089,22.9991,23.6593,23.9499,23.9499,26.061,26.3647
1.12,1,-7.17299,3.36565,5.08103,5.08103,11.1367,11.9936,15.2016,16.812,16.812,18.1946,23.1955,23.7222,23.9951,23.9951,25.9404,26.2402
1.14,1,-7.1518,3.29436,5.0459,5.0459,11.0873,11.9294,15.3754,16.9806,16.9806,18.2814,23.3806,23.7458,24.0014,24.0014,25.8818,26.1637
1.16,1,-7.13107,3.2264,5.01222,5.01222,11.0363,11.8656,15.5606,17.1518,17.1518,18.3691,23.5125,23.7648,23.9628,23.9628,25.8921,26.1409
1.18,1,-7.11089,3.16186,4.98008,4.98008,10.9846,11.8031,15.7554,17.3254,17.3254,18.4575,23.4879,23.8796,23.8796,23.8857,25.9476,25.9679
1.2,1,-7.09135,3.10081,4.94956,4.94956,10.933,11.7426,15.9582,17.5012,17.5012,18.546,23.3557,23.7579,23.7579,24.0708,25.7477,26.0979
1.22,1,-7.07254,3.04333,4.92071,4.92071,10.8821,11.6848,16.168,17.6793,17.6793,18.6343,23.1766,23.6064,23.6064,24.272,25.5551,26.2686
