Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0.68,1,-8.37228,5.79636,6.19402,6.19402,10.5458,14.4828,15.1687,15.1687,16.9804,17.806,20.671,23.5906,23.5906,23.7684,28.344,35.0034
0.7,1,-8.35985,5.69253,6.16113,6.16113,10.6813,14.4165,15.2475,15.2475,16.8431,17.8391,20.7965,23.6521,23.6521,23.8567,28.5781,34.6442
0.72,1,-8.34625,5.5852,6.12573,6.12573,10.8217,14.3479,15.3335,15.3335,16.7006,17.8756,20.9326,23.7199,23.7199,23.9504,28.8302,34.288
0.74,1,-8.33151,5.47533,6.08808,6.08808,10.9653,14.278,15.4265,15.4265,16.555,17.9155,21.0785,23.7941,23.7941,24.0491,29.0985,33.9351
0.76,1,-8.31568,5.36374,6.04842,6.04842,11.1105,14.2077,15.5263,15.5263,16.4085,17.9588,21.2332,23.8746,23.8746,24.1528,29.3809,33.5858
0.78,1,-8.29881,5.25112,6.00699,6.00699,11.2553,14.1378,15.6324,15.6324,16.2632,18.0053,21.3961,23.9613,23.9613,24.2614,29.6748,33.2402
0.8,1,-8.28095,5.13807,5.96404,5.96404,11.3978,14.0692,15.7448,15.7448,16.1215,18.0552,21.5663,24.0541,24.0541,24.3747,29.9766,32.8985
0.82,1,-8.26215,5.0251,5.91982,5.91982,11.5358,14.0025,15.8631,15.8631,15.986,18.1082,21.7431,24.1529,24.1529,24.493,30.2804,32.5608
0.84,1,-8.24247,4.91263,5.87456,5.87456,11.6669,13.9381,15.8595,15.987,15.987,18.1645,21.9259,24.2576,24.2576,24.616,30.575,32.2274
0.86,1,-8.22198,4.80106,5.82849,5.82849,11.7884,13.8763,15.7453,16.1164,16.1164,18.2239,22.1141,24.3681,24.3681,24.7437,30.8359,31.8984
0.88,1,-8.20074,4.69069,5.78184,5.78184,11.8978,13.8167,15.6472,16.2508,16.2508,18.2863,22.3071,24.4841,24.4841,24.876,31.0095,31.5741
