Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0.68,1,-6.33774,4.79702,5.2042,5.2042,8.26294,11.454,12.0631,12.0631,14.1358,14.7827,16.4892,18.6964,19.2189,19.2189,21.715,27.9419
0.7,1,-6.32728,4.70195,5.17743,5.17743,8.38583,11.3881,12.1262,12.1262,14.0291,14.8096,16.6131,18.6875,19.2673,19.2673,21.9697,27.6464
0.72,1,-6.31584,4.60473,5.14865,5.14865,8.51281,11.3193,12.1951,12.1951,13.9183,14.8392,16.7462,18.688,19.3207,19.3207,22.2342,27.3534
0.74,1,-6.30344,4.50613,5.11806,5.11806,8.64269,11.2483,12.2696,12.2696,13.8049,14.8717,16.8878,18.6976,19.379,19.379,22.5074,27.0635
0.76,1,-6.29011,4.4068,5.08585,5.08585,8.77437,11.1758,12.3494,12.3494,13.6905,14.9068,17.0372,18.716,19.4421,19.4421,22.7882,26.7771
0.78,1,-6.2759,4.30725,5.05223,5.05223,8.90673,11.1023,12.4344,12.4344,13.5766,14.9447,17.1939,18.7427,19.51,19.51,23.0755,26.4947
0.8,1,-6.26084,4.20792,5.01741,5.01741,9.03861,11.0285,12.5243,12.5243,13.4648,14.9853,17.3573,18.7775,19.5826,19.5826,23.3675,26.2176
0.82,1,-6.24499,4.10917,4.98158,4.98158,9.16873,10.955,12.6189,12.6189,13.3568,15.0285,17.5269,18.8199,19.6597,19.6597,23.6618,25.9479
0.84,1,-6.22839,4.01129,4.94493,4.94493,9.29567,10.8822,12.718,12.718,13.2543,15.0744,17.7023,18.8697,19.7412,19.7412,23.953,25.6904
0.86,1,-6.21109,3.91456,4.90766,4.90766,9.41778,10.8108,12.8215,12.8215,13.159,15.1228,17.883,18.9265,19.8269,19.8269,24.2276,25.4587
0.88,1,-6.19315,3.81918,4.86994,4.86994,9.53309,10.7415,12.929,12.929,13.0728,15.1738,18.0685,18.9902,19.9165,19.9165,24.4417,25.21
0.9,1,-6.17463,3.72535,4.83195,4.83195,9.63932,10.6751,12.998,13.0405,13.0405,15.2273,18.2585,19.0606,20.0097,20.0097,24.4885,24.9576
0.92,1,-6.15559,3.63324,4.79386,4.79386,9.73374,10.6127,12.9366,13.1557,13.1557,15.2832,18.4523,19.1378,20.106,20.106,24.3509,24.7101
0.94,1,-6.13609,3.54299,4.75581,4.75581,9.81329,10.5555,12.891,13.2745,13.2745,15.3415,18.6492,19.2218,20.2049,20.2049,24.1373,24.4682
0.96,1,-6.1162,3.45476,4.71798,4.71798,9.8747,10.5049,12.8633,13.3966,13.3966,15.4021,18.8481,19.3132,20.3055,20.3055,23.9002,24.2327
0.98,1,-6.096,3.36865,4.68048,4.68048,9.91512,10.4623,12.8554,13.5221,13.5221,15.465,19.0468,19.4133,20.4069,20.4069,23.656,24.0046
1,1,-6.07555,3.28478,4.64346,4.64346,9.93325,10.428,12.8688,13.6506,13.6506,15.53,19.2415,19.5255,20.5074,20.5074,23.4106,23.7854
1.02,1,-6.05493,3.20327,4.60705,4.60705,9.93039,10.4002,12.904,13.7821,13.7821,15.597,19.4242,19.6567,20.6051,20.6051,23.1672,23.5772
1.04,1,-6.03422,3.12421,4.57135,4.57135,9.91041,10.3756,12.9609,13.9164,13.9164,15.6661,19.5847,19.8156,20.697,20.697,22.9281,23.3828
1.06,1,-6.0135,3.0477,4.53648,4.53648,9.87815,10.3506,13.0383,14.0535,14.0535,15.7369,19.7234,20,20.779,20.779,22.6955,23.2062
1.08,1,-5.99285,2.97383,4.50254,4.50254,9.83795,10.3227,13.1347,14.1931,14.1931,15.8094,19.8492,20.1977,20.8455,20.8455,22.473,23.0532
1.1,1,-5.97236,2.9027,4.46963,4.46963,9.79302,10.2908,13.248,14.3352,14.3352,15.8835,19.9679,20.3977,20.8895,20.8895,22.2658,22.9305
1.12,1,-5.95211,2.83439,4.43783,4.43783,9.74554,10.2551,13.3761,14.4797,14.4797,15.9589,20.0796,20.5899,20.9033,20.9033,22.0837,22.8458
1.14,1,-5.93219,2.76898,4.40722,4.40722,9.69697,10.2162,13.517,14.6264,14.6264,16.0354,20.1793,20.7612,20.8811,20.8811,21.9448,22.8049
1.16,1,-5.91269,2.70656,4.37789,4.37789,9.64831,10.1751,13.6688,14.7753,14.7753,16.1127,20.255,20.8211,20.8211,20.8941,21.8784,22.7609
1.18,1,-5.8937,2.64721,4.3499,4.3499,9.60026,10.1327,13.83,14.9263,14.9263,16.1907,20.2858,20.7264,20.7264,20.9833,21.9107,22.5803
1.2,1,-5.8753,2.59101,4.32332,4.32332,9.55334,10.09,13.9992,15.0792,15.0792,16.2689,20.2498,20.6036,20.6036,21.0578,22.0341,22.4056
1.22,1,-5.85758,2.53803,4.2982,4.2982,9.50795,10.0478,14.1751,15.2339,15.2339,16.3471,20.146,20.4599,20.4599,21.1508,22.2162,22.2373
1.24,1,-5.84062,2.48837,4.27461,4.27461,9.4644,10.0068,14.3569,15.3903,15.3903,16.4247,19.9937,20.3015,20.3015,21.2688,22.0757,22.431
1.26,1,-5.82451,2.44207,4.25258,4.25258,9.423,9.96757,14.5437,15.5482,15.5482,16.5014,19.8126,20.1332,20.1332,21.4057,21.9212,22.6643
1.28,1,-5.80933,2.39923,4.23217,4.23217,9.38399,9.9305,14.7348,15.7074,15.7074,16.5765,19.6151,19.9587,19.9587,21.5555,21.7746,22.9091
1.3,1,-5.79516,2.35989,4.21342,4.21342,9.34758,9.89597,14.9296,15.8677,15.8677,16.6494,19.4084,19.7806,19.7806,21.6364,21.7143,23.1612
1.32,1,-5.78206,2.32414,4.19636,4.19636,9.314,9.86423,15.1277,16.0288,16.0288,16.7194,19.1965,19.6009,19.6009,21.5072,21.8796,23.4183
1.34,1,-5.77011,2.29202,4.18102,4.18102,9.28341,9.8355,15.3285,16.1902,16.1902,16.7858,18.9818,19.4213,19.4213,21.388,22.0492,23.678
1.36,1,-5.75938,2.2636,4.16745,4.16745,9.25601,9.80993,15.5316,16.3513,16.3513,16.8477,18.7661,19.2432,19.2432,21.2795,22.2214,23.9381
1.38,1,-5.74991,2.23892,4.15565,4.15565,9.23193,9.78762,15.7364,16.511,16.511,16.9041,18.5504,19.0682,19.0682,21.1827,22.3939,24.195
1.4,1,-5.74176,2.21803,4.14565,4.14565,9.21132,9.76866,15.9422,16.6681,16.6681,16.9541,18.3358,18.8983,18.8983,21.0985,22.5642,24.4423
1.42,1,-5.73498,2.20096,4.13748,4.13748,9.19429,9.7531,16.1482,16.8198,16.8198,16.9968,18.1236,18.7363,18.7363,21.0278,22.7285,24.6658
1.44,1,-5.7296,2.18775,4.13114,4.13114,9.18094,9.74099,16.3525,16.9621,16.9621,17.0313,17.9156,18.5866,18.5866,20.9717,22.8811,24.8357
1.46,1,-5.72566,2.17843,4.12665,4.12665,9.17134,9.73234,16.551,17.0567,17.0877,17.0877,17.7161,18.4567,18.4567,20.9308,23.0139,24.9137
1.48,1,-5.72316,2.17301,4.12402,4.12402,9.16555,9.72719,16.7324,17.0725,17.1842,17.1842,17.5364,18.359,18.359,20.9059,23.1158,24.9124
1.5,1,-5.72213,2.17151,4.12325,4.12325,9.1636,9.72552,16.8572,17.0781,17.2347,17.2347,17.4161,18.3106,18.3106,20.8972,23.174,24.8926
1.5,-1,-5.71722,2.16983,4.15287,4.16291,9.18222,9.75601,16.9299,17.2082,17.2498,17.303,17.6778,18.4219,18.4832,21.0628,23.1721,24.8863
1.52,-1,-5.71777,2.17124,4.14931,4.15255,9.19267,9.7686,16.8306,16.9945,17.1001,17.2623,17.9255,18.5363,18.569,21.0838,23.1337,24.8004
1.54,-1,-5.71821,2.17624,4.12039,4.15543,9.21928,9.80383,16.6632,16.7531,16.9329,17.1986,18.1771,18.7131,18.7158,21.1289,23.0629,24.6713
1.56,-1,-5.71859,2.18475,4.07747,4.16147,9.25822,9.86416,16.4414,16.5356,16.7357,17.1153,18.4307,18.8926,18.9303,21.1958,22.9627,24.521
1.58,-1,-5.71894,2.19666,4.02253,4.17064,9.30467,9.95239,16.1989,16.3241,16.5255,17.0135,18.6852,19.0921,19.164,21.2821,22.8385,24.3527
1.6,-1,-5.71934,2.21178,3.95794,4.18286,9.35442,10.0703,15.9546,16.1094,16.3106,16.8958,18.9393,19.3016,19.4089,21.3846,22.6967,24.1659
1.62,-1,-5.71986,2.22988,3.88633,4.19808,9.40493,10.2177,15.7128,15.8929,16.0956,16.7646,19.1917,19.5141,19.6608,21.5006,22.5449,23.9615
1.64,-1,-5.72059,2.25063,3.8104,4.21621,9.45544,10.3924,15.4751,15.6772,15.8828,16.6228,19.4405,19.7246,19.9168,21.6276,22.3909,23.7427
1.66,-1,-5.72164,2.27362,3.73281,4.23715,9.50622,10.5913,15.2422,15.4643,15.6738,16.4726,19.6819,19.9288,20.1751,21.7634,22.2433,23.5137
1.68,-1,-5.72313,2.29832,3.65616,4.26079,9.55788,10.8107,15.0147,15.2564,15.4696,16.3162,19.9074,20.1258,20.4343,21.9061,22.1125,23.2777
1.7,-1,-5.72519,2.32405,3.58298,4.287,9.61103,11.0466,14.793,15.0555,15.271,16.1555,20.0964,20.3237,20.693,22.0109,22.0545,23.0374
1.72,-1,-5.72795,2.35001,3.51568,4.31564,9.66606,11.2949,14.5778,14.8639,15.0786,15.992,20.2213,20.5356,20.9504,21.9527,22.2074,22.7943
1.74,-1,-5.73153,2.37524,3.45663,4.34656,9.72317,11.5505,14.3696,14.6851,14.8927,15.827,20.2718,20.7602,21.2054,21.9481,22.3641,22.5496
1.75,-1,-5.73367,2.38727,3.43089,4.36281,9.75252,11.6791,14.2683,14.602,14.8024,15.7443,20.2708,20.8745,21.3318,21.9661,22.427,22.4437
1.75,1,-5.73367,2.38727,3.43089,4.36281,9.75252,11.6791,14.2683,14.602,14.8024,15.7443,20.2708,20.8745,21.3318,21.9661,22.427,22.4437
