Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0.68,1,-4.0517,5.97657,6.9164,6.9164,8.81759,11.2131,12.0067,12.0067,14.6715,15.5023,15.5131,19.0015,19.2804,19.2804,21.9748,28.5845
0.7,1,-4.03415,5.83396,6.87192,6.87192,8.97429,11.1362,12.0897,12.0897,14.5458,15.5429,15.6406,19.0208,19.3305,19.3305,22.2305,28.2888
0.72,1,-4.01486,5.69263,6.82473,6.82473,9.12954,11.0578,12.1794,12.1794,14.4157,15.5758,15.7889,19.0477,19.3858,19.3858,22.4982,27.9959
0.74,1,-3.99387,5.55269,6.77526,6.77526,9.28244,10.9789,12.2754,12.2754,14.2839,15.6118,15.9458,19.0821,19.4463,19.4463,22.7766,27.706
0.76,1,-3.97121,5.41425,6.7239,6.7239,9.43189,10.9007,12.3772,12.3772,14.1524,15.651,16.1105,19.1238,19.512,19.512,23.0647,27.417
0.78,1,-3.94693,5.27738,6.67102,6.67102,9.57634,10.8244,12.4845,12.4845,14.0233,15.6932,16.282,19.1724,19.5829,19.5829,23.3616,27.1253
0.8,1,-3.92106,5.14216,6.61698,6.61698,9.71362,10.7518,12.5968,12.5968,13.8984,15.7385,16.4599,19.2279,19.6589,19.6589,23.6667,26.8363
0.82,1,-3.89367,5.00866,6.5621,6.5621,9.84034,10.6854,12.7139,12.7139,13.7798,15.7869,16.6436,19.2899,19.7399,19.7399,23.9794,26.5501
0.84,1,-3.8648,4.87693,6.50668,6.50668,9.95107,10.6296,12.8354,12.8354,13.6696,15.8384,16.8326,19.3582,19.826,19.826,24.2991,26.2666
0.86,1,-3.83452,4.74704,6.451,6.451,10.0371,10.5916,12.961,12.961,13.5703,15.893,17.0267,19.4327,19.9169,19.9169,24.6253,25.986
0.88,1,-3.8029,4.61904,6.39532,6.39532,10.0873,10.5807,13.0905,13.0905,13.4842,15.9505,17.2254,19.5133,20.0127,20.0127,24.9574,25.7087
0.9,1,-3.77,4.49302,6.33987,6.33987,10.0967,10.5998,13.2235,13.2235,13.4142,16.0112,17.4286,19.5999,20.113,20.113,25.2906,25.4391
0.92,1,-3.7359,4.36903,6.28486,6.28486,10.0737,10.6384,13.36,13.36,13.3632,16.0748,17.6357,19.6922,20.2177,20.2177,25.1586,25.2422
0.94,1,-3.70069,4.24715,6.23048,6.23048,10.0316,10.6807,13.3336,13.4995,13.4995,16.1414,17.8467,19.7904,20.3265,20.3265,24.8909,24.9869
0.96,1,-3.66446,4.12746,6.1769,6.1769,9.9802,10.7155,13.3276,13.642,13.642,16.2109,18.0611,19.8942,20.439,20.439,24.6257,24.7363
0.98,1,-3.62731,4.01004,6.1243,6.1243,9.92464,10.7368,13.3465,13.7873,13.7873,16.2834,18.2786,20.0037,20.5545,20.5545,24.3638,24.4908
1,1,-3.58933,3.89498,6.07281,6.07281,9.86774,10.7419,13.3901,13.9353,13.9353,16.3589,18.4989,20.1187,20.6724,20.6724,24.1057,24.2512
1.02,1,-3.55066,3.78239,6.02256,6.02256,9.81107,10.7307,13.4575,14.0857,14.0857,16.4371,18.7214,20.2391,20.7915,20.7915,23.8517,24.0188
