Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0.68,1,-3.53699,6.69859,7.3986,7.3986,10.2238,11.7616,12.5886,12.5886,15.4269,16.2163,16.5705,20.079,20.4902,20.4902,23.2962,30.3502
0.7,1,-3.51484,6.54979,7.34794,7.34794,10.382,11.6846,12.6812,12.6812,15.3029,16.2481,16.7146,20.0871,20.5426,20.5426,23.5719,30.0485
0.72,1,-3.49046,6.39974,7.29436,7.29436,10.5402,11.6053,12.7809,12.7809,15.1765,16.2832,16.8685,20.1045,20.6005,20.6005,23.8595,29.7495
0.74,1,-3.46386,6.24906,7.23834,7.23834,10.6965,11.5247,12.8874,12.8874,15.05,16.3217,17.0311,20.1309,20.6638,20.6638,24.158,29.4534
0.76,1,-3.43509,6.0982,7.18033,7.18033,10.8489,11.4442,13.0002,13.0002,14.9257,16.3635,17.2018,20.1659,20.7327,20.7327,24.4663,29.1556
0.78,1,-3.40417,5.94753,7.12077,7.12077,10.9934,11.3666,13.1189,13.1189,14.8062,16.4086,17.38,20.2094,20.8069,20.8069,24.7835,28.8552
0.8,1,-3.37116,5.79733,7.06005,7.06005,11.1157,11.3048,13.2429,13.2429,14.6942,16.4571,17.5651,20.2609,20.8865,20.8865,25.1091,28.5576
0.82,1,-3.33609,5.64782,6.99853,6.99853,11.1441,11.3286,13.3719,13.3719,14.5927,16.5088,17.7565,20.3201,20.9714,20.9714,25.4421,28.2632
0.84,1,-3.29901,5.4992,6.93654,6.93654,11.0838,11.4302,13.5056,13.5056,14.5051,16.5638,17.954,20.3868,21.0616,21.0616,25.782,27.9721
0.86,1,-3.25998,5.35162,6.8744,6.8744,11.009,11.5329,13.6437,13.6437,14.4351,16.6221,18.1571,20.4607,21.1569,21.1569,26.1278,27.6843
0.88,1,-3.21906,5.20523,6.81238,6.81238,10.9321,11.6211,13.7858,13.7858,14.3863,16.6836,18.3654,20.5417,21.2572,21.2572,26.4775,27.4001
0.9,1,-3.17631,5.06017,6.75072,6.75072,10.8559,11.6895,13.9316,13.9316,14.3622,16.7484,18.5787,20.6297,21.3625,21.3625,26.8248,27.1196
0.92,1,-3.13182,4.91655,6.68966,6.68966,10.7811,11.735,14.0809,14.0809,14.3654,16.8165,18.7966,20.7245,21.4723,21.4723,26.8431,26.8431
0.94,1,-3.08564,4.77449,6.6294,6.6294,10.7082,11.7566,14.2335,14.2335,14.3971,16.8877,19.0189,20.826,21.5865,21.5865,26.5709,26.5709
0.96,1,-3.03789,4.63412,6.57012,6.57012,10.6374,11.7547,14.3892,14.3892,14.4568,16.9621,19.2452,20.9342,21.7046,21.7046,26.3035,26.3035
0.98,1,-2.98865,4.49555,6.51199,6.51199,10.5692,11.7315,14.5426,14.5478,14.5478,17.0397,19.4752,21.0491,21.8261,21.8261,26.0413,26.0413
1,1,-2.93803,4.3589,6.45517,6.45517,10.5035,11.6901,14.6515,14.7092,14.7092,17.1205,19.7087,21.1707,21.9501,21.9501,25.7851,25.7851
1.02,1,-2.88614,4.22431,6.39979,6.39979,10.4406,11.634,14.7802,14.873,14.873,17.2043,19.9451,21.2989,22.0756,22.0756,25.5362,25.5362
1.04,1,-2.83312,4.09191,6.34597,6.34597,10.3805,11.5665,14.9252,15.0394,15.0394,17.2912,20.184,21.4339,22.2008,22.2008,25.2961,25.2961
1.06,1,-2.77911,3.96187,6.29382,6.29382,10.3235,11.4906,15.0837,15.208,15.208,17.3812,20.4248,21.5757,22.3232,22.3232,25.0674,25.0674
1.08,1,-2.72426,3.83433,6.24345,6.24345,10.2696,11.4091,15.2533,15.3788,15.3788,17.4741,20.6667,21.7246,22.4387,22.4387,24.854,24.854
1.1,1,-2.66875,3.70949,6.19495,6.19495,10.2188,11.3238,15.4318,15.5518,15.5518,17.5699,20.9084,21.8806,22.5414,22.5414,24.662,24.662
1.12,1,-2.61276,3.58753,6.14839,6.14839,10.1713,11.2364,15.6176,15.7267,15.7267,17.6685,21.1483,22.044,22.6221,22.6221,24.4566,24.5004
1.14,1,-2.5565,3.46867,6.10386,6.10386,10.1271,11.1483,15.8096,15.9036,15.9036,17.7698,21.3839,22.215,22.6682,22.6682,24.2301,24.3816
1.16,1,-2.50021,3.35313,6.06142,6.06142,10.0863,11.0606,16.0065,16.0823,16.0823,17.8738,21.611,22.3937,22.6671,22.6671,24.0077,24.2092
1.18,1,-2.44412,3.24119,6.02114,6.02114,10.049,10.974,16.2077,16.2628,16.2628,17.9803,21.8232,22.5799,22.6118,22.6118,23.7895,24.0042
1.2,1,-2.38852,3.1331,5.98306,5.98306,10.0151,10.8892,16.4124,16.445,16.445,18.0891,22.009,22.5064,22.5064,22.7719,23.5758,23.8314
1.22,1,-2.33371,3.02919,5.94723,5.94723,9.98479,10.8068,16.6202,16.6289,16.6289,18.2,22.1491,22.3626,22.3626,22.9656,23.3667,23.7144
1.24,1,-2.28,2.92977,5.91371,5.91371,9.95803,10.7273,16.8145,16.8145,16.8306,18.3128,22.1924,22.1924,22.2166,23.1531,23.1625,23.6876
1.26,1,-2.22775,2.83521,5.88254,5.88254,9.93487,10.6509,17.0015,17.0015,17.0432,18.4272,22.0053,22.0053,22.1932,22.9636,23.3298,23.7735
1.28,1,-2.17733,2.74587,5.85374,5.85374,9.9153,10.578,17.19,17.19,17.2578,18.5426,21.8078,21.8078,22.0895,22.7703,23.5066,23.9504
1.3,1,-2.12914,2.66217,5.82736,5.82736,9.89932,10.5089,17.38,17.38,17.4741,18.6587,21.604,21.604,21.9327,22.5831,23.6952,24.1789
1.32,1,-2.08359,2.58453,5.80341,5.80341,9.88689,10.4438,17.5712,17.5712,17.692,18.7746,21.3965,21.3965,21.7455,22.4029,23.8967,24.4344
1.34,1,-2.04113,2.51339,5.78193,5.78193,9.87796,10.383,17.7635,17.7635,17.9112,18.8894,21.1874,21.1874,21.5413,22.2306,24.1083,24.7056
1.36,1,-2.00219,2.44919,5.76294,5.76294,9.8724,10.3267,17.9567,17.9567,18.1317,19.002,20.978,20.978,21.3275,22.0673,24.3271,24.9866
1.38,1,-1.96721,2.39238,5.74645,5.74645,9.87003,10.2752,18.1505,18.1505,18.3532,19.1104,20.7695,20.7695,21.1081,21.9149,24.5507,25.2738
1.4,1,-1.93661,2.34339,5.73249,5.73249,9.87054,10.229,18.3442,18.3442,18.5757,19.2126,20.5629,20.5629,20.8857,21.7755,24.7766,25.5636
1.42,1,-1.9108,2.30261,5.72107,5.72107,9.87344,10.1887,18.5367,18.5367,18.799,19.3055,20.3599,20.3599,20.6616,21.6522,25.0016,25.8513
1.44,1,-1.89013,2.27042,5.71219,5.71219,9.87795,10.1549,18.7255,18.7255,19.0228,19.3853,20.1631,20.1631,20.4369,21.5489,25.2203,26.1274
1.46,1,-1.8749,2.2471,5.70587,5.70587,9.88294,10.1291,18.9049,18.9049,19.2464,19.4475,19.9785,19.9785,20.213,21.4699,25.4224,26.3694
1.48,1,-1.86534,2.23289,5.70212,5.70212,9.8869,10.1126,19.059,19.059,19.4675,19.4874,19.8221,19.8221,19.9924,21.42,25.5876,26.5283
1.5,1,-1.86158,2.22794,5.70093,5.70093,9.8884,10.107,19.142,19.142,19.5014,19.6499,19.7398,19.7398,19.8115,21.4027,25.6791,26.5785
1.5,-1,-1.85442,2.23285,5.71169,5.7243,9.89132,10.1256,19.1739,19.2013,19.5947,19.6644,19.799,19.8205,19.9015,21.5146,25.6673,26.6002
1.52,-1,-1.85483,2.23364,5.69526,5.7252,9.90445,10.1425,19.0206,19.0844,19.3807,19.3955,19.9989,20.0687,20.1464,21.5625,25.6037,26.4822
1.54,-1,-1.85491,2.23707,5.6536,5.73048,9.93522,10.1954,18.7578,18.9106,19.1085,19.1779,20.2728,20.3419,20.4296,21.6666,25.4679,26.3453
1.56,-1,-1.85478,2.24307,5.58998,5.7401,9.97094,10.2938,18.4766,18.6818,18.8241,18.9907,20.5673,20.6189,20.7194,21.8148,25.2728,26.216
1.58,-1,-1.85458,2.25153,5.50894,5.75402,10.0051,10.4399,18.1918,18.4324,18.5437,18.7993,20.8688,20.8966,21.0119,21.9948,25.0413,26.067
