Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0.68,1,-3.76233,8.32531,8.89845,8.89845,12.7806,13.9489,14.8789,14.8789,17.4825,18.4981,19.6808,23.0543,23.2047,23.2047,26.8881,35.0506
0.7,1,-3.73692,8.17256,8.83607,8.83607,12.9271,13.8818,14.9904,14.9904,17.3233,18.5348,19.8439,23.095,23.266,23.266,27.1912,34.6987
0.72,1,-3.70896,8.01654,8.77021,8.77021,13.0599,13.8267,15.1105,15.1105,17.163,18.5752,20.0183,23.1428,23.3338,23.3338,27.5112,34.3502
0.74,1,-3.67848,7.85824,8.70147,8.70147,13.1627,13.7979,15.2384,15.2384,17.0051,18.6196,20.203,23.1978,23.4081,23.4081,27.8461,34.0051
0.76,1,-3.64553,7.69843,8.63042,8.63042,13.2144,13.8141,15.3736,15.3736,16.8534,18.6677,20.3972,23.2598,23.4889,23.4889,28.1946,33.6636
0.78,1,-3.61015,7.53772,8.55757,8.55757,13.2086,13.8788,15.5156,15.5156,16.7127,18.7196,20.6,23.3288,23.5762,23.5762,28.5553,33.3258
0.8,1,-3.57239,7.37661,8.48343,8.48343,13.1618,13.9708,15.6637,15.6637,16.5885,18.7753,20.8109,23.4048,23.67,23.67,28.9271,32.9918
0.82,1,-3.53231,7.21551,8.40842,8.40842,13.0932,14.0655,15.8176,15.8176,16.4877,18.8348,21.0291,23.4876,23.7703,23.7703,29.3089,32.6616
0.84,1,-3.48998,7.05473,8.33295,8.33295,13.0136,14.1452,15.9767,15.9767,16.4179,18.8981,21.2543,23.5774,23.877,23.877,29.6998,32.3353
0.86,1,-3.44547,6.89458,8.25739,8.25739,12.9286,14.1977,16.1407,16.1407,16.3868,18.9651,21.4858,23.6741,23.9901,23.9901,30.0986,32.013
0.88,1,-3.39885,6.73529,8.18206,8.18206,12.8413,14.2154,16.3092,16.3092,16.3994,19.0358,21.7232,23.7776,24.1095,24.1095,30.5036,31.6947
0.9,1,-3.35021,6.57708,8.10727,8.10727,12.7533,14.1965,16.4568,16.4819,16.4819,19.1102,21.9662,23.8881,24.2352,24.2352,30.9114,31.3804
0.92,1,-3.29964,6.42014,8.03327,8.03327,12.6656,14.1442,16.5551,16.6584,16.6584,19.1883,22.2143,24.0055,24.367,24.367,31.0702,31.3113
0.94,1,-3.24724,6.26467,7.96032,7.96032,12.579,14.0648,16.6877,16.8385,16.8385,19.27,22.4671,24.1299,24.5048,24.5048,30.7641,31.0275
0.96,1,-3.19312,6.11083,7.88862,7.88862,12.4939,13.9655,16.8474,17.0219,17.0219,19.3554,22.7243,24.2614,24.6483,24.6483,30.4622,30.7151
0.98,1,-3.13741,5.9588,7.81838,7.81838,12.4108,13.8525,17.028,17.2084,17.2084,19.4443,22.9852,24.4001,24.7972,24.7972,30.1646,30.4075
1,1,-3.08024,5.80876,7.74977,7.74977,12.33,13.7307,17.2246,17.3977,17.3977,19.5367,23.2496,24.5461,24.951,24.951,29.8712,30.1052
