Linear Coordinates,Reciprocal Lattice,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
0.68,1,-3.59109,5.88813,6.73155,6.73155,8.80477,10.836,11.6065,11.6065,14.3325,15.0716,15.0786,18.438,18.8731,18.8731,21.3408,27.849
0.7,1,-3.57212,5.74572,6.68734,6.68734,8.95831,10.7612,11.6885,11.6885,14.2162,15.1007,15.2135,18.4431,18.9214,18.9214,21.5987,27.5607
0.72,1,-3.55124,5.6039,6.64048,6.64048,9.11095,10.6841,11.7772,11.7772,14.0969,15.1328,15.3571,18.4575,18.9747,18.9747,21.8669,27.2752
0.74,1,-3.52848,5.46291,6.5914,6.5914,9.26185,10.6056,11.8719,11.8719,13.9766,15.1679,15.5086,18.4808,19.033,19.033,22.1444,26.9925
0.76,1,-3.50389,5.32292,6.54049,6.54049,9.41009,10.5264,11.9724,11.9724,13.8575,15.206,15.6673,18.5127,19.0963,19.0963,22.4304,26.7127
0.78,1,-3.47749,5.18406,6.48813,6.48813,9.55455,10.4471,12.0782,12.0782,13.7413,15.2472,15.8326,18.5527,19.1646,19.1646,22.7241,26.4359
0.8,1,-3.44932,5.04645,6.43465,6.43465,9.69384,10.3686,12.1889,12.1889,13.6302,15.2914,16.004,18.6005,19.2378,19.2378,23.025,26.1622
0.82,1,-3.41943,4.91018,6.38039,6.38039,9.82593,10.2917,12.3043,12.3043,13.5262,15.3386,16.1809,18.6557,19.3157,19.3157,23.3325,25.8916
0.84,1,-3.38788,4.77534,6.32563,6.32563,9.94682,10.2194,12.424,12.424,13.4316,15.3888,16.363,18.7182,19.3985,19.3985,23.6457,25.6243
0.86,1,-3.3547,4.64201,6.27066,6.27066,10.0385,10.168,12.5476,12.5476,13.3489,15.442,16.55,18.7876,19.4859,19.4859,23.9636,25.3604
0.88,1,-3.31997,4.51025,6.21572,6.21572,10.0301,10.2065,12.6751,12.6751,13.2806,15.4981,16.7415,18.8638,19.5778,19.5778,24.2832,25.0999
0.9,1,-3.28375,4.38015,6.16103,6.16103,9.96796,10.2866,12.806,12.806,13.2293,15.5572,16.9372,18.9467,19.674,19.674,24.5863,24.8433
0.92,1,-3.2461,4.25178,6.10681,6.10681,9.89987,10.3586,12.9402,12.9402,13.1975,15.6192,17.1368,19.0361,19.7742,19.7742,24.5905,24.5905
0.94,1,-3.20711,4.12522,6.05324,6.05324,9.83194,10.4148,13.0775,13.0775,13.1873,15.6842,17.34,19.132,19.8782,19.8782,24.3421,24.3421
0.96,1,-3.16686,4.00056,6.0005,6.0005,9.76553,10.4528,13.2,13.2177,13.2177,15.752,17.5466,19.2344,19.9855,19.9855,24.0984,24.0984
0.98,1,-3.12545,3.87787,5.94873,5.94873,9.70115,10.4722,13.236,13.3606,13.3606,15.8228,17.7561,19.3433,20.0954,20.0954,23.8601,23.8601
1,1,-3.08298,3.75727,5.89807,5.89807,9.63907,10.4736,13.2946,13.5061,13.5061,15.8963,17.9683,19.4587,20.207,20.207,23.628,23.628
1.02,1,-3.03955,3.63884,5.84866,5.84866,9.57949,10.4586,13.3743,13.654,13.654,15.9727,18.1828,19.5808,20.3191,20.3191,23.4,23.4034
1.04,1,-2.99528,3.52271,5.80061,5.80061,9.52252,10.4294,13.4729,13.8043,13.8043,16.0518,18.3989,19.7095,20.4298,20.4298,23.1532,23.1881
1.06,1,-2.95032,3.409,5.75402,5.75402,9.46828,10.3886,13.5879,13.9567,13.9567,16.1337,18.6161,19.8451,20.5362,20.5362,22.9099,22.9851
1.08,1,-2.9048,3.29785,5.70899,5.70899,9.41686,10.3387,13.7171,14.1112,14.1112,16.2182,18.8334,19.9877,20.634,20.634,22.6708,22.7984
1.1,1,-2.85888,3.1894,5.6656,5.6656,9.36832,10.2819,13.8581,14.2678,14.2678,16.3053,19.0498,20.1377,20.7168,20.7168,22.4368,22.6346
1.12,1,-2.81272,3.08382,5.62393,5.62393,9.32272,10.2201,14.0092,14.4263,14.4263,16.3949,19.2636,20.2951,20.7753,20.7753,22.2091,22.5028
1.14,1,-2.76651,2.98129,5.58405,5.58405,9.28013,10.1551,14.1685,14.5867,14.5867,16.487,19.4721,20.4602,20.7985,20.7985,21.9902,22.4139
1.16,1,-2.72046,2.88199,5.54602,5.54602,9.24057,10.0882,14.3349,14.7489,14.7489,16.5814,19.6713,20.6327,20.7771,20.7771,21.7842,22.2419
1.18,1,-2.67476,2.78614,5.50991,5.50991,9.20408,10.0206,14.5072,14.9129,14.9129,16.678,19.8539,20.7087,20.7087,20.8114,21.5996,22.043
1.2,1,-2.62966,2.69396,5.47576,5.47576,9.17069,9.95321,14.6845,15.0786,15.0786,16.7766,20.0066,20.5996,20.5996,20.9907,21.4548,21.8483
